merchant,month,choiceA,theta,dfee,lagA,Lprev,initA,dfee_bar
26,3,0,-2.06088864578875,-0.142233808902502,0,-1,0,0.373308808915364
26,4,0,-2.06088864578875,-0.0418088074788011,0,-1,0,0.373308808915364
26,5,0,-2.06088864578875,-0.755101798008443,0,-1,0,0.373308808915364
26,6,0,-2.06088864578875,1.58346197237242,0,-1,0,0.373308808915364
26,7,0,-2.06088864578875,1.33305855804674,0,-1,0,0.373308808915364
26,8,0,-2.06088864578875,1.25974145783948,0,-1,0,0.373308808915364
26,9,0,-2.06088864578875,0.648123692998253,0,-1,0,0.373308808915364
26,10,0,-2.06088864578875,-0.0465513252827167,0,-1,0,0.373308808915364
27,1,0,-0.834623364071975,0.682239113442484,,,0,0.373308808915364
27,2,1,-0.834623364071975,-0.787840965873284,0,-1,0,0.373308808915364
27,3,0,-0.834623364071975,-0.142233808902502,1,1,0,0.373308808915364
27,4,0,-0.834623364071975,-0.0418088074788011,0,-1,0,0.373308808915364
27,5,0,-0.834623364071975,-0.755101798008443,0,-1,0,0.373308808915364
27,6,0,-0.834623364071975,1.58346197237242,0,-1,0,0.373308808915364
27,7,0,-0.834623364071975,1.33305855804674,0,-1,0,0.373308808915364
27,8,0,-0.834623364071975,1.25974145783948,0,-1,0,0.373308808915364
27,9,0,-0.834623364071975,0.648123692998253,0,-1,0,0.373308808915364
27,10,0,-0.834623364071975,-0.0465513252827167,0,-1,0,0.373308808915364
28,1,1,-1.60538018370604,0.682239113442484,,,1,0.373308808915364
28,2,0,-1.60538018370604,-0.787840965873284,1,1,1,0.373308808915364
28,3,0,-1.60538018370604,-0.142233808902502,0,-1,1,0.373308808915364
28,4,0,-1.60538018370604,-0.0418088074788011,0,-1,1,0.373308808915364
28,5,0,-1.60538018370604,-0.755101798008443,0,-1,1,0.373308808915364
28,6,0,-1.60538018370604,1.58346197237242,0,-1,1,0.373308808915364
28,7,0,-1.60538018370604,1.33305855804674,0,-1,1,0.373308808915364
28,8,0,-1.60538018370604,1.25974145783948,0,-1,1,0.373308808915364
28,9,0,-1.60538018370604,0.648123692998253,0,-1,1,0.373308808915364
28,10,0,-1.60538018370604,-0.0465513252827167,0,-1,1,0.373308808915364
29,1,0,-3.46449100628239,0.682239113442484,,,0,0.373308808915364
29,2,0,-3.46449100628239,-0.787840965873284,0,-1,0,0.373308808915364
29,3,0,-3.46449100628239,-0.142233808902502,0,-1,0,0.373308808915364
29,4,0,-3.46449100628239,-0.0418088074788011,0,-1,0,0.373308808915364
29,5,0,-3.46449100628239,-0.755101798008443,0,-1,0,0.373308808915364
29,6,0,-3.46449100628239,1.58346197237242,0,-1,0,0.373308808915364
29,7,0,-3.46449100628239,1.33305855804674,0,-1,0,0.373308808915364
29,8,0,-3.46449100628239,1.25974145783948,0,-1,0,0.373308808915364
29,9,0,-3.46449100628239,0.648123692998253,0,-1,0,0.373308808915364
29,10,0,-3.46449100628239,-0.0465513252827167,0,-1,0,0.373308808915364
30,1,0,-0.858912009774375,0.682239113442484,,,0,0.373308808915364
30,2,0,-0.858912009774375,-0.787840965873284,0,-1,0,0.373308808915364
30,3,0,-0.858912009774375,-0.142233808902502,0,-1,0,0.373308808915364
30,4,0,-0.858912009774375,-0.0418088074788011,0,-1,0,0.373308808915364
30,5,0,-0.858912009774375,-0.755101798008443,0,-1,0,0.373308808915364
30,6,1,-0.858912009774375,1.58346197237242,0,-1,0,0.373308808915364
30,7,0,-0.858912009774375,1.33305855804674,1,1,0,0.373308808915364
30,8,0,-0.858912009774375,1.25974145783948,0,-1,0,0.373308808915364
30,9,0,-0.858912009774375,0.648123692998253,0,-1,0,0.373308808915364
30,10,0,-0.858912009774375,-0.0465513252827167,0,-1,0,0.373308808915364
31,1,0,-0.302836119653343,0.682239113442484,,,0,0.373308808915364
31,2,1,-0.302836119653343,-0.787840965873284,0,-1,0,0.373308808915364
31,3,0,-0.302836119653343,-0.142233808902502,1,1,0,0.373308808915364
31,4,0,-0.302836119653343,-0.0418088074788011,0,-1,0,0.373308808915364
31,5,1,-0.302836119653343,-0.755101798008443,0,-1,0,0.373308808915364
31,6,0,-0.302836119653343,1.58346197237242,1,1,0,0.373308808915364
31,7,0,-0.302836119653343,1.33305855804674,0,-1,0,0.373308808915364
31,8,0,-0.302836119653343,1.25974145783948,0,-1,0,0.373308808915364
31,9,0,-0.302836119653343,0.648123692998253,0,-1,0,0.373308808915364
31,10,1,-0.302836119653343,-0.0465513252827167,0,-1,0,0.373308808915364
32,1,1,2.22620407588139,0.682239113442484,,,1,0.373308808915364
32,2,1,2.22620407588139,-0.787840965873284,1,1,1,0.373308808915364
32,3,1,2.22620407588139,-0.142233808902502,1,1,1,0.373308808915364
32,4,1,2.22620407588139,-0.0418088074788011,1,1,1,0.373308808915364
32,5,1,2.22620407588139,-0.755101798008443,1,1,1,0.373308808915364
32,6,0,2.22620407588139,1.58346197237242,1,1,1,0.373308808915364
32,7,1,2.22620407588139,1.33305855804674,0,-1,1,0.373308808915364
32,8,1,2.22620407588139,1.25974145783948,1,1,1,0.373308808915364
32,9,1,2.22620407588139,0.648123692998253,1,1,1,0.373308808915364
32,10,1,2.22620407588139,-0.0465513252827167,1,1,1,0.373308808915364
33,1,1,2.17860058591272,0.682239113442484,,,1,0.373308808915364
33,2,1,2.17860058591272,-0.787840965873284,1,1,1,0.373308808915364
33,3,1,2.17860058591272,-0.142233808902502,1,1,1,0.373308808915364
33,4,1,2.17860058591272,-0.0418088074788011,1,1,1,0.373308808915364
33,5,1,2.17860058591272,-0.755101798008443,1,1,1,0.373308808915364
33,6,1,2.17860058591272,1.58346197237242,1,1,1,0.373308808915364
33,7,1,2.17860058591272,1.33305855804674,1,1,1,0.373308808915364
33,8,0,2.17860058591272,1.25974145783948,1,1,1,0.373308808915364
33,9,0,2.17860058591272,0.648123692998253,0,-1,1,0.373308808915364
33,10,1,2.17860058591272,-0.0465513252827167,0,-1,1,0.373308808915364
34,1,1,1.55183125087698,0.682239113442484,,,1,0.373308808915364
34,2,1,1.55183125087698,-0.787840965873284,1,1,1,0.373308808915364
34,3,1,1.55183125087698,-0.142233808902502,1,1,1,0.373308808915364
34,4,1,1.55183125087698,-0.0418088074788011,1,1,1,0.373308808915364
34,5,1,1.55183125087698,-0.755101798008443,1,1,1,0.373308808915364
34,6,1,1.55183125087698,1.58346197237242,1,1,1,0.373308808915364
34,7,1,1.55183125087698,1.33305855804674,1,1,1,0.373308808915364
34,8,1,1.55183125087698,1.25974145783948,1,1,1,0.373308808915364
34,9,1,1.55183125087698,0.648123692998253,1,1,1,0.373308808915364
34,10,1,1.55183125087698,-0.0465513252827167,1,1,1,0.373308808915364
35,1,0,-1.53627858283868,0.682239113442484,,,0,0.373308808915364
35,2,0,-1.53627858283868,-0.787840965873284,0,-1,0,0.373308808915364
35,3,0,-1.53627858283868,-0.142233808902502,0,-1,0,0.373308808915364
35,4,1,-1.53627858283868,-0.0418088074788011,0,-1,0,0.373308808915364
35,5,0,-1.53627858283868,-0.755101798008443,1,1,0,0.373308808915364
35,6,0,-1.53627858283868,1.58346197237242,0,-1,0,0.373308808915364
35,7,0,-1.53627858283868,1.33305855804674,0,-1,0,0.373308808915364
35,8,0,-1.53627858283868,1.25974145783948,0,-1,0,0.373308808915364
35,9,1,-1.53627858283868,0.648123692998253,0,-1,0,0.373308808915364
35,10,0,-1.53627858283868,-0.0465513252827167,1,1,0,0.373308808915364
36,1,0,-2.60484800292857,0.682239113442484,,,0,0.373308808915364
36,2,0,-2.60484800292857,-0.787840965873284,0,-1,0,0.373308808915364
36,3,0,-2.60484800292857,-0.142233808902502,0,-1,0,0.373308808915364
36,4,0,-2.60484800292857,-0.0418088074788011,0,-1,0,0.373308808915364
36,5,0,-2.60484800292857,-0.755101798008443,0,-1,0,0.373308808915364
36,6,0,-2.60484800292857,1.58346197237242,0,-1,0,0.373308808915364
36,7,0,-2.60484800292857,1.33305855804674,0,-1,0,0.373308808915364
36,8,0,-2.60484800292857,1.25974145783948,0,-1,0,0.373308808915364
36,9,0,-2.60484800292857,0.648123692998253,0,-1,0,0.373308808915364
36,10,0,-2.60484800292857,-0.0465513252827167,0,-1,0,0.373308808915364
37,1,0,-1.27901038716815,0.682239113442484,,,0,0.373308808915364
37,2,0,-1.27901038716815,-0.787840965873284,0,-1,0,0.373308808915364
37,3,0,-1.27901038716815,-0.142233808902502,0,-1,0,0.373308808915364
37,4,0,-1.27901038716815,-0.0418088074788011,0,-1,0,0.373308808915364
37,5,0,-1.27901038716815,-0.755101798008443,0,-1,0,0.373308808915364
37,6,0,-1.27901038716815,1.58346197237242,0,-1,0,0.373308808915364
37,7,0,-1.27901038716815,1.33305855804674,0,-1,0,0.373308808915364
37,8,0,-1.27901038716815,1.25974145783948,0,-1,0,0.373308808915364
37,9,0,-1.27901038716815,0.648123692998253,0,-1,0,0.373308808915364
